# corpus prefix stripped from every path: /nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/
# F	<file>	<verdict>	<give-up detail>
# C	<file>	<repeat count>	<DTRES-CENSUS line>
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	4	DTRES-CENSUS narrow_sites=45 wide_sites=45 narrow_pairs=183 wide_pairs=183 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=14 sym_inexact=0 ctor_exact=47 ctor_inexact=0 apply_exact=16 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	2	DTRES-CENSUS narrow_sites=54 wide_sites=54 narrow_pairs=270 wide_pairs=270 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=34 sym_inexact=0 ctor_exact=41 ctor_inexact=0 apply_exact=18 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	4	DTRES-CENSUS narrow_sites=6 wide_sites=6 narrow_pairs=1 wide_pairs=1 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=11 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N627-026__defaults__with_default.adb_69_22_assert___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N627-026__defaults__with_default.adb_69_22_assert___00.smt2	2	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N902-010__a_stack_no_spark_contracts_with_body.adb_25_18_index_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N917-051__longest_common_prefix__longest_common_prefix.adb_13_35_index_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/NA06-051__loop__indexbis.ads_5_72_index_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/NA06-051__loop__indexbis.ads_5_72_index_check___00.smt2	1	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_103_22_overflow_check4___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_35_16_index_check4___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_35_16_index_check4___00.smt2	1	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_51_39_overflow_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_51_39_overflow_check___00.smt2	5	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_87_33_overflow_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_87_33_overflow_check___00.smt2	1	DTRES-CENSUS narrow_sites=8 wide_sites=8 narrow_pairs=3 wide_pairs=3 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=14 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/NB24-034__flow_spurious_ghost_warning__sorters.adb_51_43_index_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/NB24-034__flow_spurious_ghost_warning__sorters.adb_51_43_index_check___00.smt2	1	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O108-025__attribute_size__size_attr.adb_116_19_assert___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O108-025__attribute_size__size_attr.adb_116_19_assert___00.smt2	1	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O205-003__dynamic_arrays__dynamic_array.adb_52_19_discriminant_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is neither a free variable nor a constructor application (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O205-003__dynamic_arrays__dynamic_array.adb_52_19_discriminant_check___00.smt2	4	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O205-003__dynamic_arrays__dynamic_array.adb_52_19_discriminant_check___00.smt2	6	DTRES-CENSUS narrow_sites=1 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=1 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O205-003__dynamic_arrays__dynamic_array.adb_52_19_discriminant_check___00.smt2	20	DTRES-CENSUS narrow_sites=2 wide_sites=3 narrow_pairs=0 wide_pairs=0 dtres_funcs=2 dtres_inexact=2 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O205-003__dynamic_arrays__dynamic_array.adb_52_19_discriminant_check___00.smt2	4	DTRES-CENSUS narrow_sites=5 wide_sites=6 narrow_pairs=1 wide_pairs=1 dtres_funcs=2 dtres_inexact=2 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=1 other=3 other_kinds=Select ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O416-002__type_contracts__communications.ads_16_9_invariant_check_on_default_value___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O416-002__type_contracts__communications.ads_16_9_invariant_check_on_default_value___00.smt2	16	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__demo_not_fixed_yet__generic_stack.adb_27_25_use_stacks.adb_47_7_index_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__infoflow__infoflow.adb_181_22_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__infoflow__infoflow.adb_181_22_overflow_check___00.smt2	107	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__infoflow__infoflow.ads_136_24_contract_case___00.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__infoflow__infoflow.ads_136_24_contract_case___00.smt2	9	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__prefix_sum__prefixsum.ads_18_32_unreachable_branch___00.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__stacks__stacks.ads_84_58_index_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__stacks__stacks.ads_84_58_index_check___00.smt2	3	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__stacks__stacks.ads_84_58_index_check___00.smt2	14	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__stacks__stacks.ads_84_58_index_check___00.smt2	2	DTRES-CENSUS narrow_sites=3 wide_sites=3 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=3 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=11 wide_sites=12 narrow_pairs=5 wide_pairs=5 dtres_funcs=1 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=11 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=12 wide_sites=13 narrow_pairs=7 wide_pairs=7 dtres_funcs=1 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=12 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	2	DTRES-CENSUS narrow_sites=16 wide_sites=17 narrow_pairs=13 wide_pairs=13 dtres_funcs=1 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=12 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=9 wide_sites=10 narrow_pairs=2 wide_pairs=2 dtres_funcs=1 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=9 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2	8	DTRES-CENSUS narrow_sites=17 wide_sites=17 narrow_pairs=16 wide_pairs=16 dtres_funcs=1 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=11 apply_exact=0 apply_inexact=2 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2	4	DTRES-CENSUS narrow_sites=19 wide_sites=19 narrow_pairs=17 wide_pairs=17 dtres_funcs=1 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=13 apply_exact=0 apply_inexact=2 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2	4	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2	4	DTRES-CENSUS narrow_sites=28 wide_sites=31 narrow_pairs=26 wide_pairs=29 dtres_funcs=2 dtres_inexact=2 dtres_nondt=0 sym_exact=0 sym_inexact=9 ctor_exact=0 ctor_inexact=17 apply_exact=0 apply_inexact=2 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2	2	DTRES-CENSUS narrow_sites=35 wide_sites=38 narrow_pairs=48 wide_pairs=51 dtres_funcs=2 dtres_inexact=2 dtres_nondt=0 sym_exact=0 sym_inexact=14 ctor_exact=0 ctor_inexact=19 apply_exact=0 apply_inexact=2 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2	2	DTRES-CENSUS narrow_sites=67 wide_sites=70 narrow_pairs=189 wide_pairs=192 dtres_funcs=2 dtres_inexact=2 dtres_nondt=0 sym_exact=0 sym_inexact=39 ctor_exact=0 ctor_inexact=25 apply_exact=0 apply_inexact=3 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_30_27_precondition2___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_30_27_precondition2___00.smt2	4	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_30_27_precondition2___00.smt2	8	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=2 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_30_27_precondition2___00.smt2	4	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_30_27_precondition2___00.smt2	2	DTRES-CENSUS narrow_sites=6 wide_sites=6 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=4 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__while_loop_invariant__s.adb_14_9_loop_variant___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O724-003__iterable__with_iterable.ads_24_9_predicate_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O724-003__iterable__with_iterable.ads_24_9_predicate_check___00.smt2	4	DTRES-CENSUS narrow_sites=1 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O724-003__iterable__with_iterable.ads_24_9_predicate_check___00.smt2	12	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/OA20-032__refinement__patris.adb_121_63_index_check___00.smt2	unknown	give-up kind=Error detail=parse error: unsupported: nested array element sort is unsupported: List([Atom("Array"), Atom("Int"), List([Atom("Array"), Atom("Int"), Atom("cell")])])
F	AUFDTLIRA/20200306-Kanig/spark2014bench/P115-039__spark16demo__concurrency_example.adb_14_13_dead_code___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination
F	AUFDTLIRA/20200306-Kanig/spark2014bench/P412-021__conc_discr_dyn__p.adb_6_19_range_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	AUFDTLIRA/20200306-Kanig/spark2014bench/P412-021__conc_discr_dyn__p.adb_6_19_range_check___00.smt2	12	DTRES-CENSUS narrow_sites=1 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/P427-045__iterable_for_proof__test_containers.adb_22_38_precondition___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_11_13_range_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_11_13_range_check___00.smt2	4	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_218_46_frame_condition.adb_233_7_index_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_218_46_frame_condition.adb_233_7_index_check___00.smt2	4	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_86_39_frame_condition.adb_150_10_loop_invariant_preserv___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_86_39_frame_condition.adb_150_10_loop_invariant_preserv___00.smt2	8	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_86_39_frame_condition.adb_150_10_loop_invariant_preserv___00.smt2	8	DTRES-CENSUS narrow_sites=1 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_86_39_frame_condition.adb_150_10_loop_invariant_preserv___00.smt2	4	DTRES-CENSUS narrow_sites=3 wide_sites=3 narrow_pairs=1 wide_pairs=1 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=3 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__loop_frame_condition__do_loops.adb_112_22_assert___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
